# Region type : patch inlet
# Faces  :      1347
# Area   :      1.67632194e-04
# Time          	sum(phi)
0.003264        	-9.15608271e-05
0.003268        	-9.16322290e-05
0.003272        	-9.17034982e-05
0.003276        	-9.17746342e-05
0.00328         	-9.18456384e-05
0.003284        	-9.19165221e-05
0.003288        	-9.19872949e-05
0.003292        	-9.20579765e-05
0.003296        	-9.21285758e-05
0.0033          	-9.21990976e-05
0.003304        	-9.22695461e-05
0.003308        	-9.23399248e-05
0.003312        	-9.24102358e-05
0.003316        	-9.24804797e-05
0.00332         	-9.25506650e-05
0.003324        	-9.26207776e-05
0.003328        	-9.26907957e-05
0.003332        	-9.27607067e-05
0.003336        	-9.28305193e-05
0.00334         	-9.29002254e-05
0.003344        	-9.29698155e-05
0.003348        	-9.30392902e-05
0.003352        	-9.31086496e-05
0.003356        	-9.31779185e-05
0.00336         	-9.32471147e-05
0.003364        	-9.33161970e-05
0.003368        	-9.33851493e-05
0.003372        	-9.34540779e-05
0.003376        	-9.35230559e-05
0.00338         	-9.35920688e-05
0.003384        	-9.36610490e-05
0.003388        	-9.37299251e-05
0.003392        	-9.37986685e-05
0.003396        	-9.38672701e-05
0.0034          	-9.39357466e-05
0.003404        	-9.40041148e-05
0.003408        	-9.40723834e-05
0.003412        	-9.41405575e-05
0.003416        	-9.42086370e-05
0.00342         	-9.42766205e-05
0.003424        	-9.43445060e-05
